subgroup,rows,positive_rate,auc,f1
XB:女,53,0.433962,0.9347826086956521,0.875
XB:男,202,0.242574,0.8338001867413632,0.686869
activity_band:sparse_activity,255,0.282353,0.8634638737097754,0.748299
