pattern_label,student_count,ratio,avg_total_risk,main_dimension,main_MAP
能力不足型,1364,0.5454,0.2698,未知,能力
生活失衡型,489,0.1955,0.5694,生活,能力
提示缺失型,454,0.1815,0.2417,未知,提示
动机波动型,135,0.054,0.304,未知,动机
学习主导风险型,30,0.012,0.632,学习,能力
运动薄弱型,21,0.0084,0.4114,运动,动机
多维叠加高风险型,8,0.0032,0.6598,学习,能力
