student_id,life_risk,study_risk,sport_risk,total_risk
pjxqqxbj969,0.5015,,,0.5015
pjxqqxbj970,0.5015,,,0.5015
pjxqqxbj975,0.5015,,,0.5015
pjxqqxbj977,0.5015,,,0.5015
pjxqqxbj981,0.5015,,,0.5015
pjxqqxbj983,0.5015,,,0.5015
pjxqqxbj986,0.5015,,,0.5015
pjxqqxbj989,0.5015,,,0.5015
pjxqqxbj991,0.5015,,,0.5015
pjxqqxbj997,0.5015,,,0.5015
pjxqzxbj980,0.5015,,,0.5015
pjxqzxbj984,0.5015,,,0.5015
pjxqzxbj985,0.5015,,,0.5015
pjxqzxbj989,0.5015,,,0.5015
pjxqzxbj994,0.5015,,,0.5015
pjxqzxbj996,0.5015,,,0.5015
pjxrqxbj894,0.5015,,,0.5015
pjxrqxbj898,0.5015,,,0.5015
pjxrqxbj901,0.5015,,,0.5015
pjxrqxbj908,0.5015,,,0.5015
pjxrqxbj909,0.5015,,,0.5015
pjxrqxbj911,0.5015,,,0.5015
pjxrqxbj918,0.5015,,,0.5015
pjxrqxbj928,0.5015,,,0.5015
pjxrqxbj930,0.5015,,,0.5015
pjxrqxbj937,0.5015,,,0.5015
pjxrqxbj939,0.5015,,,0.5015
pjxrqxbj942,0.5015,,,0.5015
pjxrqxbj944,0.5015,,,0.5015
pjxrqxbj951,0.5015,,,0.5015
pjxrqxbj952,0.5015,,,0.5015
pjxrqxbj954,0.5015,,,0.5015
pjxrqxbj958,0.5015,,,0.5015
pjxrqxbj961,0.5015,,,0.5015
pjxrqxbj969,0.5015,,,0.5015
pjxrqxbj971,0.5015,,,0.5015
pjxrqxbj972,0.5015,,,0.5015
pjxrqxbj978,0.5015,,,0.5015
pjxrqxbj983,0.5015,,,0.5015
pjxrqxbj994,0.5015,,,0.5015
pjxsqxbj778,0.5015,,,0.5015
pjxsqxbj800,0.5015,,,0.5015
pjxsqxbj807,0.5015,,,0.5015
pjxsqxbj808,0.5015,,,0.5015
pjxsqxbj810,0.5015,,,0.5015
pjxsqxbj811,0.5015,,,0.5015
pjxsqxbj867,0.5015,,,0.5015
pjxsqxbj872,0.5015,,,0.5015
pjxsqxbj877,0.5015,,,0.5015
pjxsqxbj882,0.5015,,,0.5015
pjxsqxbj884,0.5015,,,0.5015
pjxsqxbj888,0.5015,,,0.5015
pjxsqxbj894,0.5015,,,0.5015
pjxsqxbj900,0.5015,,,0.5015
pjxsqxbj912,0.5015,,,0.5015
pjxsqxbj925,0.5015,,,0.5015
pjxsqxbj927,0.5015,,,0.5015
pjxsqxbj932,0.5015,,,0.5015
pjxsqxbj934,0.5015,,,0.5015
pjxsqxbj940,0.5015,,,0.5015
pjxsqxbj953,0.5015,,,0.5015
pjxsqxbj957,0.5015,,,0.5015
pjxsqxbj965,0.5015,,,0.5015
pjxsqxbj980,0.5015,,,0.5015
pjxsqxbj986,0.5015,,,0.5015
pjxsqxbj994,0.5015,,,0.5015
pjxuqwbj463,0.5015,,,0.5015
pjxuqwbj499,0.5015,,,0.5015
pjxuqwbj519,0.5015,,,0.5015
pjxuqwbj547,0.5015,,,0.5015
pjxuqwbj552,0.5015,,,0.5015
pjxuqwbj572,0.5015,,,0.5015
pjxuqwbj581,0.5015,,,0.5015
pjxuqwbj582,0.5015,,,0.5015
pjxuqwbj583,0.5015,,,0.5015
pjxuqwbj600,0.5015,,,0.5015
pjxuqwbj615,0.5015,,,0.5015
pjxuqwbj624,0.5015,,,0.5015
pjxuqwbj633,0.5015,,,0.5015
pjxuqwbj641,0.5015,,,0.5015
pjxuqwbj642,0.5015,,,0.5015
pjxuqwbj691,0.5015,,,0.5015
pjxuqwbj738,0.5015,,,0.5015
pjxuqwbj748,0.5015,,,0.5015
pjxuqwbj751,0.5015,,,0.5015
pjxuqwbj758,0.5015,,,0.5015
pjxuqwbj760,0.5015,,,0.5015
pjxuqwbj761,0.5015,,,0.5015
pjxuqwbj773,0.5015,,,0.5015
pjxuqwbj774,0.5015,,,0.5015
pjxuqwbj787,0.5015,,,0.5015
pjxuqwbj812,0.5015,,,0.5015
pjxuqwbj814,0.5015,,,0.5015
pjxuqwbj829,0.5015,,,0.5015
pjxuqwbj833,0.5015,,,0.5015
pjxuqwbj840,0.5015,,,0.5015
pjxuqwbj857,0.5015,,,0.5015
pjxuqwbj876,0.5015,,,0.5015
pjxuqwbj881,0.5015,,,0.5015
pjxuqwbj904,0.5015,,,0.5015
pjxuqwbj915,0.5015,,,0.5015
pjxuqwbj944,0.5015,,,0.5015
pjxuqwbj947,0.5015,,,0.5015
pjxuqwbj967,0.5015,,,0.5015
pjxuqwbj976,0.5015,,,0.5015
pjxuqwbj985,0.5015,,,0.5015
pjxuqwbj996,0.5015,,,0.5015
pjxuzvbj991,0.5015,,,0.5015
pjxuzxbj997,0.5015,,,0.5015
pjxwxxbj928,0.5015,,,0.5015
pjxwxxbj945,0.5015,,,0.5015
pjxwxxbj946,0.5015,,,0.5015
pjxwxxbj981,0.5015,,,0.5015
pjxwzxbj986,0.5015,,,0.5015
pjxwzxbj997,0.5015,,,0.5015
pjxxxxbj922,0.5015,,,0.5015
pjxxxxbj942,0.5015,,,0.5015
pjxxxxbj957,0.5015,,,0.5015
pjxxxxbj980,0.5015,,,0.5015
pjxxxxbj988,0.5015,,,0.5015
pjxxztbj990,0.5015,,,0.5015
pjxxztbj998,0.5015,,,0.5015
pjxxzxkj998,0.5015,,,0.5015
pjxyqwbj004,0.5015,,,0.5015
pjxyqwbj015,0.5015,,,0.5015
pjxyqwbj073,0.5015,,,0.5015
pjxyqwbj146,0.5015,,,0.5015
pjxyqwbj221,0.5015,,,0.5015
pjxyqwbj249,0.5015,,,0.5015
pjxyqwbj255,0.5015,,,0.5015
pjxyqwbj282,0.5015,,,0.5015
pjxyqwbj301,0.5015,,,0.5015
pjxyqwbj302,0.5015,,,0.5015
pjxyqwbj311,0.5015,,,0.5015
pjxyqwbj318,0.5015,,,0.5015
pjxyqwbj333,0.5015,,,0.5015
pjxyqwbj366,0.5015,,,0.5015
pjxyqwbj395,0.5015,,,0.5015
pjxyqwbj398,0.5015,,,0.5015
pjxyqwbj410,0.5015,,,0.5015
pjxyqwbj433,0.5015,,,0.5015
pjxyqwbj435,0.5015,,,0.5015
pjxyqwbj437,0.5015,,,0.5015
pjxyqwbj476,0.5015,,,0.5015
pjxyqwbj479,0.5015,,,0.5015
pjxyqwbj497,0.5015,,,0.5015
pjxyqwbj518,0.5015,,,0.5015
pjxyqwbj524,0.5015,,,0.5015
pjxyqwbj534,0.5015,,,0.5015
pjxyqwbj535,0.5015,,,0.5015
pjxyqwbj538,0.5015,,,0.5015
pjxyqwbj557,0.5015,,,0.5015
pjxyqwbj585,0.5015,,,0.5015
pjxyqwbj588,0.5015,,,0.5015
pjxyqwbj589,0.5015,,,0.5015
pjxyqwbj615,0.5015,,,0.5015
pjxyqwbj617,0.5015,,,0.5015
pjxyqwbj624,0.5015,,,0.5015
pjxyqwbj625,0.5015,,,0.5015
pjxyqwbj628,0.5015,,,0.5015
pjxyqwbj642,0.5015,,,0.5015
pjxyqwbj651,0.5015,,,0.5015
pjxyqwbj669,0.5015,,,0.5015
pjxyqwbj677,0.5015,,,0.5015
pjxyqwbj687,0.5015,,,0.5015
pjxyqwbj697,0.5015,,,0.5015
pjxyqwbj706,0.5015,,,0.5015
pjxyqwbj713,0.5015,,,0.5015
pjxyqwbj727,0.5015,,,0.5015
pjxyqwbj728,0.5015,,,0.5015
pjxyqwbj734,0.5015,,,0.5015
pjxyqwbj742,0.5015,,,0.5015
pjxyqwbj744,0.5015,,,0.5015
pjxyqwbj760,0.5015,,,0.5015
pjxyqwbj773,0.5015,,,0.5015
pjxyqwbj776,0.5015,,,0.5015
pjxyqwbj788,0.5015,,,0.5015
pjxyqwbj828,0.5015,,,0.5015
pjxyqwbj834,0.5015,,,0.5015
pjxyqwbj844,0.5015,,,0.5015
pjxyqwbj870,0.5015,,,0.5015
pjxyqwbj872,0.5015,,,0.5015
pjxyqwbj873,0.5015,,,0.5015
pjxyqwbj884,0.5015,,,0.5015
pjxyqwbj922,0.5015,,,0.5015
pjxyqwbj932,0.5015,,,0.5015
pjxyqwbj935,0.5015,,,0.5015
pjxyqwbj971,0.5015,,,0.5015
pjxyqwbj989,0.5015,,,0.5015
pjxyqwbj991,0.5015,,,0.5015
pjxyqwbk509,0.5015,,,0.5015
pjxyqwbk514,0.5015,,,0.5015
pjxyqwbk529,0.5015,,,0.5015
pjxyqwbk592,0.5015,,,0.5015
pjxyqwbk594,0.5015,,,0.5015
pjxyqwbk617,0.5015,,,0.5015
pjxyqwbk621,0.5015,,,0.5015
pjxyqwbk647,0.5015,,,0.5015
pjxyqwbk650,0.5015,,,0.5015
pjxyqwbk664,0.5015,,,0.5015
pjxyqwbk665,0.5015,,,0.5015
pjxyqwbk675,0.5015,,,0.5015
pjxyqwbk724,0.5015,,,0.5015
pjxyqwbk727,0.5015,,,0.5015
pjxyqwbk746,0.5015,,,0.5015
pjxyqwbk770,0.5015,,,0.5015
pjxyqwbk772,0.5015,,,0.5015
pjxyqwbk791,0.5015,,,0.5015
pjxyqwbk792,0.5015,,,0.5015
pjxyqwbk793,0.5015,,,0.5015
pjxyqwbk795,0.5015,,,0.5015
pjxyqwbk818,0.5015,,,0.5015
pjxyqwbk872,0.5015,,,0.5015
pjxyqwbk889,0.5015,,,0.5015
pjxyqwbk899,0.5015,,,0.5015
pjxyqwbk907,0.5015,,,0.5015
pjxyqwbk964,0.5015,,,0.5015
pjxyqxbj008,0.5015,,,0.5015
pjxyqxbj035,0.5015,,,0.5015
pjxyqxbj038,0.5015,,,0.5015
pjxyqxbj044,0.5015,,,0.5015
pjxyqxbj068,0.5015,,,0.5015
pjxyqxbj073,0.5015,,,0.5015
pjxyqxbj075,0.5015,,,0.5015
pjxyqxbj088,0.5015,,,0.5015
pjxyqxbj103,0.5015,,,0.5015
pjxyqxbj106,0.5015,,,0.5015
pjxyqxbj114,0.5015,,,0.5015
pjxyqxbj125,0.5015,,,0.5015
pjxyqxbj145,0.5015,,,0.5015
pjxyqxbj147,0.5015,,,0.5015
pjxyqxbj150,0.5015,,,0.5015
pjxyqxbj153,0.5015,,,0.5015
pjxyqxbj154,0.5015,,,0.5015
pjxyqxbj182,0.5015,,,0.5015
pjxyqxbj220,0.5015,,,0.5015
pjxyqxbj238,0.5015,,,0.5015
pjxyqxbj242,0.5015,,,0.5015
pjxyqxbj332,0.5015,,,0.5015
pjxyqxbj353,0.5015,,,0.5015
pjxyqxbj361,0.5015,,,0.5015
pjxyqxbj391,0.5015,,,0.5015
pjxyqxbj415,0.5015,,,0.5015
pjxyqxbj428,0.5015,,,0.5015
pjxyqxbj432,0.5015,,,0.5015
pjxyqxbj448,0.5015,,,0.5015
pjxyqxbj454,0.5015,,,0.5015
pjxyqxbj533,0.5015,,,0.5015
pjxyqxbj537,0.5015,,,0.5015
pjxyqxbj544,0.5015,,,0.5015
pjxyqxbj562,0.5015,,,0.5015
pjxyqxbj571,0.5015,,,0.5015
pjxyqxbj574,0.5015,,,0.5015
pjxyqxbj576,0.5015,,,0.5015
pjxyqxbj578,0.5015,,,0.5015
pjxyqxbj581,0.5015,,,0.5015
pjxyqxbj589,0.5015,,,0.5015
pjxyqxbj626,0.5015,,,0.5015
pjxyqxbj638,0.5015,,,0.5015
pjxyqxbj659,0.5015,,,0.5015
pjxyqxbj662,0.5015,,,0.5015
pjxyqxbj682,0.5015,,,0.5015
pjxyqxbj701,0.5015,,,0.5015
pjxyqxbj703,0.5015,,,0.5015
pjxyqxbj714,0.5015,,,0.5015
pjxyqxbj722,0.5015,,,0.5015
pjxyqxbj729,0.5015,,,0.5015
pjxyqxbj736,0.5015,,,0.5015
pjxyqxbj737,0.5015,,,0.5015
pjxyqxbj740,0.5015,,,0.5015
pjxyqxbj765,0.5015,,,0.5015
pjxyqxbj791,0.5015,,,0.5015
pjxyqxbj798,0.5015,,,0.5015
pjxyqxbj807,0.5015,,,0.5015
pjxyqxbj828,0.5015,,,0.5015
pjxyqxbj841,0.5015,,,0.5015
pjxyqxbj857,0.5015,,,0.5015
pjxyqxbj861,0.5015,,,0.5015
pjxyqxbj862,0.5015,,,0.5015
pjxyqxbj868,0.5015,,,0.5015
pjxyqxbj871,0.5015,,,0.5015
pjxyqxbj872,0.5015,,,0.5015
pjxyqxbj889,0.5015,,,0.5015
pjxyqxbj909,0.5015,,,0.5015
pjxyqxbj914,0.5015,,,0.5015
pjxyqxbj915,0.5015,,,0.5015
pjxyqxbj918,0.5015,,,0.5015
pjxyqxbj922,0.5015,,,0.5015
pjxyqxbj927,0.5015,,,0.5015
pjxyqxbj954,0.5015,,,0.5015
pjxyqxbj972,0.5015,,,0.5015
pjxyqxbj973,0.5015,,,0.5015
pjxyqxbj978,0.5015,,,0.5015
pjxyqxbj979,0.5015,,,0.5015
pjxyqxbj980,0.5015,,,0.5015
pjxyqxbj984,0.5015,,,0.5015
pjxyqxbj991,0.5015,,,0.5015
pjxyqxbk011,0.5015,,,0.5015
pjxyqxbk021,0.5015,,,0.5015
pjxyqxbk022,0.5015,,,0.5015
pjxyqxbk027,0.5015,,,0.5015
pjxyqxbk031,0.5015,,,0.5015
pjxyqxbk036,0.5015,,,0.5015
pjxyqxbk047,0.5015,,,0.5015
pjxyqxbk048,0.5015,,,0.5015
pjxyqxbk052,0.5015,,,0.5015
pjxyqxbk090,0.5015,,,0.5015
pjxyqxbk095,0.5015,,,0.5015
pjxyqxbk147,0.5015,,,0.5015
pjxyqxbk148,0.5015,,,0.5015
pjxyqxbk165,0.5015,,,0.5015
pjxyqxbk210,0.5015,,,0.5015
pjxyqxbk211,0.5015,,,0.5015
pjxyqxbk230,0.5015,,,0.5015
pjxyqxbk272,0.5015,,,0.5015
pjxyqxbk276,0.5015,,,0.5015
pjxyqxbk316,0.5015,,,0.5015
pjxyqxbk318,0.5015,,,0.5015
pjxyqxbk334,0.5015,,,0.5015
pjxyqxbk336,0.5015,,,0.5015
pjxyqxbk341,0.5015,,,0.5015
pjxyqxbk358,0.5015,,,0.5015
pjxyqxbk368,0.5015,,,0.5015
pjxyqxbk382,0.5015,,,0.5015
pjxyqxbk399,0.5015,,,0.5015
pjxyqxbk411,0.5015,,,0.5015
pjxyqxbk429,0.5015,,,0.5015
pjxyqxbk469,0.5015,,,0.5015
pjxyqxbk474,0.5015,,,0.5015
pjxyqxbk484,0.5015,,,0.5015
pjxyqxbk513,0.5015,,,0.5015
pjxyqxbk519,0.5015,,,0.5015
pjxyqxbk522,0.5015,,,0.5015
pjxyqxbk528,0.5015,,,0.5015
pjxyqxbk531,0.5015,,,0.5015
pjxyqxbk537,0.5015,,,0.5015
pjxyqxbk551,0.5015,,,0.5015
pjxyqxbk553,0.5015,,,0.5015
pjxyqxbk566,0.5015,,,0.5015
pjxyqxbk581,0.5015,,,0.5015
pjxyqxbk583,0.5015,,,0.5015
pjxyqxbk590,0.5015,,,0.5015
pjxyqxbk596,0.5015,,,0.5015
pjxyqxbk609,0.5015,,,0.5015
pjxyqxbk637,0.5015,,,0.5015
pjxyqxbk643,0.5015,,,0.5015
pjxyqxbk649,0.5015,,,0.5015
pjxyqxbk676,0.5015,,,0.5015
pjxyqxbk683,0.5015,,,0.5015
pjxyqxbk706,0.5015,,,0.5015
pjxyqxbk715,0.5015,,,0.5015
pjxyqxbk718,0.5015,,,0.5015
pjxyqxbk720,0.5015,,,0.5015
pjxyqxbk772,0.5015,,,0.5015
pjxyqxbk799,0.5015,,,0.5015
pjxyqxbk825,0.5015,,,0.5015
pjxyqxbk836,0.5015,,,0.5015
pjxyqxbk852,0.5015,,,0.5015
pjxyqxbk902,0.5015,,,0.5015
pjxyqxbk903,0.5015,,,0.5015
pjxyqxbk907,0.5015,,,0.5015
pjxyqxbk947,0.5015,,,0.5015
pjxyqxbk954,0.5015,,,0.5015
pjxyqxbk962,0.5015,,,0.5015
pjxyqxbk991,0.5015,,,0.5015
pjxyqxbk995,0.5015,,,0.5015
pjxyqxbl687,0.5015,,,0.5015
pjxyqxbl714,0.5015,,,0.5015
pjxyqxbl730,0.5015,,,0.5015
pjxyqxbl750,0.5015,,,0.5015
pjxyqxbl751,0.5015,,,0.5015
pjxyqxbl753,0.5015,,,0.5015
pjxyqxbl766,0.5015,,,0.5015
pjxyqxbl780,0.5015,,,0.5015
pjxyqxbl794,0.5015,,,0.5015
pjxyqxbl807,0.5015,,,0.5015
pjxyqxbl827,0.5015,,,0.5015
pjxyqxbl869,0.5015,,,0.5015
pjxyqxbl874,0.5015,,,0.5015
pjxyqxbl911,0.5015,,,0.5015
pjxyqxbl912,0.5015,,,0.5015
pjxyqxbl925,0.5015,,,0.5015
pjxyqxbl937,0.5015,,,0.5015
pjxyqxbl975,0.5015,,,0.5015
pjxyqxbl982,0.5015,,,0.5015
pjxyqxbk373,,0.5808,0.4205,0.5007
pjxyqwbj598,0.4975,,,0.4975
pjxyqwbj764,,0.3188,0.6613,0.4901
pjxyqwbk701,,0.51,0.4658,0.4879
pjxyqwbj965,0.4875,,,0.4875
pjxyqwbj754,,0.2084,0.7639,0.4861
pjxyqwbj358,0.4847,,,0.4847
pjxyqwbj418,0.4847,,,0.4847
pjxyqwbj515,0.4847,,,0.4847
pjxyqxbj031,0.4847,,,0.4847
pjxyqxbj032,0.4847,,,0.4847
pjwrqxbj901,,0.4185,0.5482,0.4833
pjxyqwbk652,,0.6325,0.3294,0.481
pjxyqxbk854,,0.48,,0.48
pjxyqwbk951,,0.21,0.7359,0.4729
pjxyqwbj660,0.4666,,,0.4666
pjxuqwbj879,0.4658,,,0.4658
pjxyqxbj501,,0.24,0.6909,0.4654
pjxyqwbk531,,,0.455,0.455
pjxuqwbj694,,0.4525,,0.4525
pjxqqxbj949,0.445,,,0.445
pjxyqxbk722,,0.445,,0.445
pjxyqwbj158,,0.1325,0.754,0.4432
pjxrqxbj963,0.105,0.7625,,0.4337
pjxyqwbj859,0.5015,,0.3655,0.4335
pjxyqxbk894,,0.4325,,0.4325
pjxxxxbj910,,0.4075,0.455,0.4312
pjxrqxbj892,0.4275,,,0.4275
pjxyqxbj893,0.4275,,,0.4275
pjxyqxbk916,,0.335,0.5174,0.4262
pjwrqxbj905,,0.5175,0.3298,0.4236
pjxyqwbk808,0.4225,,,0.4225
pjxyqwbj077,,0.5825,0.2609,0.4217
pjxyqwbj591,,0.3764,0.4645,0.4204
pjxyqxbj027,0.5015,0.3375,,0.4195
pjxyqxbj683,0.5015,0.242,0.5003,0.4146
pjxyqwbj116,,0.2692,0.5565,0.4128
pjxyqwbj701,,0.4524,0.3732,0.4128
pjxyqxbk661,,0.4127,,0.4127
pjxyqxbj640,,0.41,,0.41
pjxyqxbj911,,0.4092,,0.4092
pjxyqxbk503,0.5015,0.095,0.6259,0.4075
pjxuqwbj450,,0.4056,,0.4056
pjxyqxbk732,,0.4013,,0.4013
pjxyqwbj188,,0.272,0.5282,0.4001
pjxyqxbk579,,0.2663,0.5304,0.3984
pjxyqxbj754,,0.265,0.526,0.3955
pjxyqwbk925,,0.255,0.5358,0.3954
pjxyqxbj271,,0.2525,0.5254,0.389
pjxyqwbk949,,0.3526,0.4179,0.3852
pjxyqwbj492,,0.42,0.3496,0.3848
pjvyzxbj998,,0.3481,0.417,0.3825
pjxyqwbj564,,0.3075,0.4438,0.3756
pjxyqwbk900,,0.305,0.4405,0.3728
pjxyqwbj456,0.5015,0.2575,0.3551,0.3713
pjxyqxbk477,,0.04,0.688,0.364
pjwrqxbj919,,0.36,,0.36
pjxyqxbk074,,0.3575,,0.3575
pjxyqxbk918,0.5015,0.2075,,0.3545
pjxyqwbk855,,0.05,0.6563,0.3531
pjxyqxbl739,,0.21,0.455,0.3325
pjxyqxbk198,,0.33,,0.33
pjxsqxbj969,0.5015,0.06,0.4261,0.3292
pjxyqwbj849,,0.25,0.405,0.3275
pjxyqxbj749,0.325,,,0.325
pjxpqxbj978,,0.075,0.57,0.3225
pjxyqwbj868,,0.12,0.525,0.3225
pjxuqwbj538,,0.3225,,0.3225
pjxwxxbj993,,0.3225,,0.3225
pjxyqwbj763,,0.255,0.3805,0.3177
pjxuqwbj980,,0.315,,0.315
pjxyqwbk668,,0.1725,0.4552,0.3139
pjxyqxbj636,,0.31,,0.31
pjxyqwbj452,,0.18,0.438,0.309
pjxyqwbk638,,0.402,0.2134,0.3077
pjxyqxbk342,,0.075,0.5349,0.305
pjxyqxbk162,,0.3025,,0.3025
pjxyqxbl858,,0.3025,,0.3025
pjxyqwbj340,,0.1761,0.4255,0.3008
pjxuqwbj830,0.5015,0.0925,,0.297
pjxxzxbj998,0.5015,0.0925,,0.297
pjxyqwbk511,,0.1625,0.4304,0.2965
pjxyqxbk401,,0.2956,,0.2956
pjxuqwbj496,,0.135,0.455,0.295
pjxyqwbj367,,0.2492,0.3401,0.2947
pjxyqxbk775,,0.13,0.455,0.2925
pjxyqwbk624,,0.18,0.4009,0.2904
pjxuqwbj638,0.5015,0.0775,,0.2895
