confidence_zone,rows,auc,f1,recall,precision
high_conf_positive,736,0.7096021247632576,0.6470588235294118,1.0,0.4782608695652174
middle_correction,316,0.5772996357012751,0.336,0.5833333333333334,0.23595505617977527
high_conf_negative,2464,0.561065023024135,0.0,0.0,0.0
