experiment_name,rows,positives,feature_count,auc,pr_auc,recall_at_precision_0_70,f1,recall,precision
baseline_subgroup_model,687,79,46,0.8610093271152565,0.5910091310871937,0.4050632911392405,0.4811320754716981,0.6455696202531646,0.38345864661654133
targeted_subgroup_model,687,79,52,0.8638095436375749,0.5990873556409433,0.4177215189873418,0.5,0.6582278481012658,0.40310077519379844
targeted_subgroup_linear,687,79,52,0.8343396069287142,0.5124766402931741,0.3037974683544304,0.40718562874251496,0.8607594936708861,0.26666666666666666
