feature,importance
cat__MZMC_羌族,5.283792740338988e-05
cat__MZMC_毛难族,4.4299922484165394e-05
cat__MZMC_黎族,3.7326642642875426e-05
cat__MZMC_柯尔克孜族,3.201621768240089e-05
cat__MZMC_仡佬族,1.6149335428240296e-05
cat__MZMC_土族,1.3746618418772668e-05
num__exam_submit_count,0.0
num__hw_submit_count,0.0
num__reply_count,0.0
num__sign_count,0.0
num__task_job_rate,0.0
num__topic_count,0.0
