group_field,max_pred,min_pred,pred_rate_gap
JG,1.0,0.0,1.0
MZMC,1.0,0.0,1.0
XB,0.5394736842105263,0.4782608695652174,0.06121281464530892
ZYM,1.0,0.0,1.0
ZZMMMC,0.6333333333333333,0.5103448275862069,0.12298850574712639
