cluster,sample_count,mean_score,fail_rate
0,395,87.37080422806612,0.18227848101265823
1,11327,87.28191292717278,0.3874812395162002
2,5420,82.2871123063221,0.1706642066420664
3,2939,89.99174919937161,0.24464103436543042
