sid,term_id,avg_score,avg_gpa,fail_flag,learning_score,learning_score_rank
pjxyqwbj733,2022-2023-T1,88.15384615384616,3.7615384615384615,0,36.94604932476839,3013
pjxyqwbj734,2022-2023-T1,86.25,3.725,0,35.603996992964824,5895
pjxyqwbj737,2022-2023-T1,83.63636363636364,3.5818181818181816,0,35.28003292277282,6748
pjxyqwbj739,2022-2023-T1,86.6,3.71,0,36.3343778799087,4161
pjxyqwbj741,2022-2023-T1,88.66666666666667,3.7666666666666666,0,36.62843111790722,3534
pjxyqwbj742,2022-2023-T1,74.11111111111111,3.111111111111111,1,31.56355422887383,13116
pjxyqwbj744,2022-2023-T1,86.0,3.6999999999999997,0,35.9849400632949,4941
pjxyqwbj748,2022-2023-T1,89.0,3.790909090909091,0,36.87965973180965,3097
pjxyqwbj754,2022-2023-T1,66.81818181818181,2.8181818181818183,1,28.130647485784912,15802
pjxyqwbj755,2022-2023-T1,84.9090909090909,3.6818181818181817,0,35.228349884332424,6882
pjxyqwbj758,2022-2023-T1,79.0,3.3833333333333333,1,34.439273543443996,8725
pjxyqwbj760,2022-2023-T1,85.14285714285714,3.6,0,34.97390492718219,7490
pjxyqwbj763,2022-2023-T1,60.857142857142854,2.1142857142857143,1,26.496211615361798,16893
pjxyqwbj764,2022-2023-T1,67.9090909090909,2.536363636363636,1,28.261926330183993,15706
pjxyqwbj769,2022-2023-T1,85.71428571428571,3.6999999999999997,0,35.28133122364671,6747
pjxyqwbj772,2022-2023-T1,85.0,3.6846153846153844,0,35.42948100327809,6366
pjxyqwbj773,2022-2023-T1,87.7,3.75,0,36.17314032816453,4505
pjxyqwbj775,2022-2023-T1,88.33333333333333,3.8000000000000003,0,36.79608389274065,3232
pjxyqwbj776,2022-2023-T1,87.66666666666667,3.6999999999999997,0,36.24958263693333,4338
pjxyqwbj777,2022-2023-T1,85.11111111111111,3.6666666666666665,0,35.466651010483474,6263
pjxyqwbj780,2022-2023-T1,87.75,3.725,0,35.432588564062435,6357
pjxyqwbj782,2022-2023-T1,86.16666666666667,3.733333333333333,0,34.46974048069232,8670
pjxyqwbj785,2022-2023-T1,87.28571428571429,3.7285714285714286,0,35.831961585657915,5343
pjxyqwbj787,2022-2023-T1,86.66666666666667,3.6833333333333336,0,34.60080604429854,8413
pjxyqwbj788,2022-2023-T1,89.1,3.75,0,35.980266513977305,4955
pjxyqwbj789,2022-2023-T1,81.07692307692308,3.4692307692307693,0,33.92576049631173,9756
pjxyqwbj790,2022-2023-T1,86.0,3.7,0,35.23670187777099,6859
pjxyqwbj791,2022-2023-T1,85.88888888888889,3.6666666666666665,0,34.80232146060403,7949
pjxyqwbj793,2022-2023-T1,72.0,3.0,1,29.65997722969662,14806
pjxyqwbj796,2022-2023-T1,91.0,3.871428571428571,0,36.006513964921695,4886
pjxyqwbj797,2022-2023-T1,88.0,3.7818181818181817,0,36.86068980659089,3139
pjxyqwbj799,2022-2023-T1,88.42857142857143,3.7142857142857144,0,35.56111720826947,6021
pjxyqwbj802,2022-2023-T1,78.61538461538461,3.269230769230769,1,31.95846806398989,12697
pjxyqwbj803,2022-2023-T1,77.44444444444444,3.1888888888888887,1,28.1239111020769,15803
pjxyqwbj807,2022-2023-T1,84.91666666666667,3.608333333333333,0,33.58251623858108,10422
pjxyqwbj808,2022-2023-T1,75.64285714285714,3.1714285714285713,1,32.21022027622999,12418
pjxyqwbj809,2022-2023-T1,86.5,3.725,0,34.26364193655325,9114
pjxyqwbj811,2022-2023-T1,87.54545454545455,3.7363636363636363,0,36.33346461955015,4165
pjxyqwbj820,2022-2023-T1,83.21428571428571,3.357142857142857,1,34.11920131884921,9377
pjxyqwbj821,2022-2023-T1,88.125,3.7375,0,35.452372733921486,6309
pjxyqwbj822,2022-2023-T1,89.25,3.8,0,36.63452969014226,3516
pjxyqwbj825,2022-2023-T1,46.45454545454545,1.5,1,20.326349611540923,19530
pjxyqwbj828,2022-2023-T1,79.3,3.4,1,33.47002306270461,10612
pjxyqwbj830,2022-2023-T1,71.9090909090909,2.9454545454545453,1,30.69451080038533,13946
pjxyqwbj833,2022-2023-T1,83.5,3.63,0,35.74199108036423,5572
pjxyqwbj834,2022-2023-T1,85.42857142857143,3.6571428571428575,0,36.146036565548336,4566
pjxyqwbj836,2022-2023-T1,89.76923076923077,3.784615384615385,0,37.00512138285672,2915
pjxyqwbj837,2022-2023-T1,90.27272727272727,3.8,0,36.44760665961505,3890
pjxyqwbj838,2022-2023-T1,86.16666666666667,3.6916666666666664,0,36.20384396281466,4436
pjxyqwbj839,2022-2023-T1,78.25,3.15,1,32.39846035076874,12181
pjxyqwbj841,2022-2023-T1,86.33333333333333,3.6999999999999997,0,36.265710286917525,4307
pjxyqwbj842,2022-2023-T1,85.46153846153847,3.6538461538461537,0,35.8102007017785,5393
pjxyqwbj844,2022-2023-T1,93.125,3.8625,0,37.96355220934171,2139
pjxyqwbj847,2022-2023-T1,85.125,3.6,0,33.794364849261704,10023
pjxyqwbj849,2022-2023-T1,93.1,3.88,0,38.04992575598579,2103
pjxyqwbj850,2022-2023-T1,83.66666666666667,3.5666666666666664,0,35.85745179798484,5274
pjxyqwbj852,2022-2023-T1,88.57142857142857,3.7714285714285714,0,35.93276298587145,5077
pjxyqwbj853,2022-2023-T1,90.66666666666667,3.8333333333333335,0,35.441491053055096,6338
