sid,term_id,cluster
pjxqqxbj947,2020-2021-T1,0
pjxqqxbj949,2020-2021-T1,0
pjxqqxbj951,2020-2021-T1,0
pjxqqxbj954,2020-2021-T1,1
pjxqqxbj957,2020-2021-T1,0
pjxqqxbj959,2020-2021-T1,1
pjxqqxbj961,2020-2021-T1,0
pjxqqxbj964,2020-2021-T1,0
pjxqqxbj967,2020-2021-T1,1
pjxqqxbj969,2020-2021-T1,0
pjxqqxbj970,2020-2021-T1,1
pjxqqxbj973,2020-2021-T1,1
pjxqqxbj974,2020-2021-T1,1
pjxqqxbj975,2020-2021-T1,1
pjxqqxbj977,2020-2021-T1,0
pjxqqxbj979,2020-2021-T1,1
pjxqqxbj981,2020-2021-T1,3
pjxqqxbj982,2020-2021-T1,0
pjxqqxbj983,2020-2021-T1,0
pjxqqxbj985,2020-2021-T1,0
pjxqqxbj986,2020-2021-T1,3
pjxqqxbj988,2020-2021-T1,3
pjxqqxbj989,2020-2021-T1,3
pjxqqxbj991,2020-2021-T1,0
pjxqqxbj996,2020-2021-T1,1
pjxqqxbj997,2020-2021-T1,1
pjxqqxbj998,2020-2021-T1,0
pjxqzxbj967,2020-2021-T1,1
pjxqzxbj971,2020-2021-T1,3
pjxqzxbj973,2020-2021-T1,1
pjxqzxbj975,2020-2021-T1,1
pjxqzxbj979,2020-2021-T1,1
pjxqzxbj980,2020-2021-T1,1
pjxqzxbj982,2020-2021-T1,3
pjxqzxbj983,2020-2021-T1,1
pjxqzxbj984,2020-2021-T1,1
pjxqzxbj985,2020-2021-T1,1
pjxqzxbj989,2020-2021-T1,1
pjxqzxbj994,2020-2021-T1,3
pjxqzxbj995,2020-2021-T1,1
pjxqzxbj996,2020-2021-T1,1
pjxqzxbj997,2020-2021-T1,1
pjxrqxbj891,2020-2021-T1,1
pjxrqxbj892,2020-2021-T1,3
pjxrqxbj894,2020-2021-T1,1
pjxrqxbj898,2020-2021-T1,3
pjxrqxbj901,2020-2021-T1,1
pjxrqxbj903,2020-2021-T1,1
pjxrqxbj905,2020-2021-T1,1
pjxrqxbj908,2020-2021-T1,3
pjxrqxbj909,2020-2021-T1,1
pjxrqxbj911,2020-2021-T1,1
pjxrqxbj914,2020-2021-T1,1
pjxrqxbj916,2020-2021-T1,3
pjxrqxbj918,2020-2021-T1,1
