pattern_label,student_count,ratio,avg_total_risk,main_dimension,main_MAP
提示缺失型,1130,0.4518,0.2618,生活,提示
生活失衡型,742,0.2967,0.3556,生活,提示
多维叠加高风险型,331,0.1323,0.4672,生活,提示
运动薄弱型,282,0.1128,0.3144,运动,提示
学习主导风险型,16,0.0064,0.5191,学习,提示
