student_id,total_risk,risk_rank
pjxsqxbj906,0.4646,189
pjxyqxbk578,0.4646,190
pjxyqxbl896,0.4646,191
pjxyqxbj096,0.464,192
pjxyqwbk720,0.4637,193
pjxqzxbj975,0.4635,194
pjxyqwbj741,0.4627,195
pjxyqwbk666,0.4625,196
pjxyqxbk980,0.4623,197
pjxsqxbj876,0.4613,198
pjxyqxbk655,0.4606,199
pjxyqwbj695,0.4602,200
pjxyqxbk816,0.4595,201
pjxsqxbj944,0.4592,202
pjxyqxbk019,0.4592,203
pjxyqxbj570,0.4592,204
pjxyqxbl866,0.4589,205
pjxyqxbj113,0.4588,206
pjxyqwbj129,0.4584,207
pjxyqwbj293,0.4583,208
pjxsqxbj829,0.458,209
pjxyqxbk606,0.458,210
pjxyqxbk791,0.4578,211
pjxyqxbj119,0.4566,212
pjxuqwbj800,0.456,213
pjxyqxbk398,0.455,214
pjxyqxbk662,0.455,215
pjwtqxbj914,0.4547,216
pjxyqxbk621,0.4543,217
pjxyqxbj419,0.4536,218
pjxyqxbk965,0.4536,219
pjxyqxbk101,0.4535,220
pjxyqxbj012,0.4534,221
pjxyqxbk865,0.4533,222
pjxyqwbj640,0.4532,223
pjxyqxbk000,0.4526,224
pjxyqxbk391,0.4526,225
pjxqqxbj985,0.4519,226
pjxuqwbj784,0.4518,227
pjxyqxbj947,0.4517,228
pjwuzxbj992,0.4514,229
pjxyqxbk415,0.4511,230
pjxyqxbk626,0.4504,231
pjxqzxbj983,0.4502,232
pjxuqwbj573,0.4495,233
pjxyqxbj950,0.4494,234
pjxyqxbk414,0.4488,235
pjxyqxbl673,0.4487,236
pjxrqxbj903,0.4484,237
pjxyqxbk378,0.4479,238
pjxyqwbk756,0.4477,239
pjxtztbj986,0.4467,240
pjxyqwbj190,0.4465,241
pjxyqwbj336,0.4463,242
pjxyqwbj857,0.4461,243
pjxyqwbk931,0.4458,244
pjxyqwbj117,0.4458,245
pjxyqxbj884,0.4451,246
pjxyqwbj944,0.4447,247
pjxpqxbj994,0.4446,248
pjxyqxbk339,0.4436,249
pjxyqxbk551,0.4435,250
pjxyqwbj732,0.4432,251
pjxyqwbj089,0.4423,252
pjxyqxbj470,0.4415,253
pjxwzxfj991,0.4413,254
pjxyqwbk928,0.4409,255
pjxqqxbj957,0.4409,256
pjxvzxbj996,0.4404,257
pjxyqwbk615,0.4397,258
pjxyqxbj599,0.4391,259
pjxqqxbj974,0.439,260
pjxyqwbj109,0.4389,261
pjxwxxbj899,0.4387,262
pjxuqwbj605,0.4385,263
pjxyqwbj946,0.4383,264
pjwrqxbj911,0.4381,265
pjxyqxbk107,0.438,266
pjxuqwbj986,0.4379,267
pjxyqxbk894,0.4378,268
pjxqqxbj959,0.4376,269
pjxuqwbj845,0.4375,270
pjxyqwbj594,0.4373,271
pjxyqxbk936,0.437,272
pjxpqxbj915,0.4368,273
pjxyqwbk721,0.4367,274
pjxyqxbk630,0.4365,275
pjxuqwbj898,0.4365,276
pjxyqwbj884,0.4361,277
pjxuqwbj500,0.4361,278
pjxyqxbj032,0.4358,279
pjxyqwbk544,0.4357,280
pjxyqxbl737,0.4347,281
pjxyqxbk839,0.4346,282
pjxyqwbj646,0.4337,283
pjxyqwbj478,0.4324,284
pjxyqxbj658,0.4323,285
pjxuqwbj552,0.4314,286
pjxyqwbj367,0.4313,287
pjxyqwbk761,0.4312,288
pjxyqxbj151,0.4308,289
pjxuqwbj663,0.4299,290
pjxuqwbj837,0.4298,291
pjxyqwbk537,0.4294,292
pjxyqwbj742,0.4289,293
pjxrqxbj957,0.4281,294
pjxyqwbk536,0.4281,295
pjxyqxbj146,0.4276,296
pjxyqwbj088,0.4275,297
pjxyqxbk853,0.4269,298
pjxwxxbj970,0.4267,299
pjxxxxbj986,0.4266,300
pjxyqwbj468,0.4256,301
pjxyqxbj527,0.4254,302
pjxuqwbj714,0.4248,303
pjxyqxbk794,0.4245,304
pjxyqxbj253,0.4234,305
pjxyqwbj368,0.423,306
pjxuqwbj610,0.4225,307
pjxyqwbj838,0.4213,308
pjxyqxbk935,0.4209,309
pjxwxxbj916,0.4207,310
pjxqqxbj961,0.4204,311
