student_id,life_risk,study_risk,sport_risk,total_risk
pjxuqwbj796,0.5015,0.0184,0.5889,0.3696
pjxyqxbk629,0.6825,0.0195,0.4066,0.3695
pjxpqxbj927,0.5015,0.0557,0.5513,0.3695
pjxyqxbk680,0.7507,0.0176,0.3402,0.3695
pjxyqwbk541,0.5015,0.0296,0.5765,0.3692
pjxwxxbj908,0.5015,0.1198,0.485,0.3688
pjxuqwbj574,0.5015,0.0285,0.575,0.3683
pjxyqxbl717,0.5015,0.1282,0.4749,0.3682
pjxyqwbk521,0.5015,0.1786,0.4242,0.3681
pjxyqwbj632,0.5015,0.0527,0.5502,0.3681
pjxyqwbj347,0.8129,0.0157,0.2755,0.368
pjxyqxbk520,0.695,0.0231,0.3855,0.3679
pjxyqwbj043,0.5015,0.045,0.5554,0.3673
pjxyqwbj391,0.5015,0.0267,0.5728,0.367
pjxyqxbl957,0.5015,0.1439,0.4555,0.3669
pjxyqxbj277,0.5015,0.0281,0.5711,0.3669
pjxxzxkj979,0.5015,0.0154,0.5837,0.3669
pjxyqwbj159,0.5015,0.115,0.4837,0.3667
pjxyqwbj755,0.5015,0.0275,0.5705,0.3665
pjxyqxbj933,0.5015,0.0167,0.5803,0.3662
pjxyqxbl796,0.6815,0.012,0.4043,0.3659
pjxyqxbk298,0.5015,0.0537,0.5424,0.3659
pjxyqwbk604,0.5015,0.0259,0.57,0.3658
pjxyqwbk815,0.5015,0.0908,0.5047,0.3657
pjxsqxbj916,0.7171,0.0146,0.3647,0.3655
pjxsqxbj820,0.5015,0.0167,0.5774,0.3652
pjxyqxbj124,0.5015,0.0353,0.5586,0.3651
pjxyqwbj577,0.5015,0.1047,0.489,0.3651
pjxyqwbj584,0.5369,0.0982,0.4598,0.365
pjxyqwbj126,0.5015,0.134,0.4592,0.3649
pjxuqwbj903,0.5015,0.0156,0.5775,0.3649
pjxyqxbk211,0.6782,0.0281,0.3879,0.3647
pjxyqwbj036,0.5015,0.0386,0.5539,0.3647
pjxyqwbj433,0.5015,0.1707,0.4217,0.3646
pjxuqwbj545,0.5015,0.1439,0.4484,0.3646
pjxyqxbk803,0.5015,0.2693,0.323,0.3646
pjxyqxbj114,0.5015,0.0267,0.5651,0.3644
pjxuqwbj606,0.8019,0.0204,0.2708,0.3644
pjxxzxbj998,0.5015,0.1439,0.4473,0.3642
pjxyqwbk884,0.5015,0.1949,0.3962,0.3642
pjxyqwbj651,0.5015,0.1108,0.4802,0.3642
pjxyqxbj955,0.611,0.0267,0.4545,0.3641
pjxpqxbj932,0.5015,0.2072,0.3832,0.364
pjxyqxbj415,0.5015,0.0308,0.5595,0.364
pjxuqwbj905,0.5015,0.0284,0.5617,0.3639
pjxyqxbl921,0.5015,0.1364,0.4537,0.3639
pjxyqxbk841,0.5015,0.0223,0.5678,0.3639
pjxuqwbj805,0.7225,0.0093,0.3597,0.3638
pjxyqwbk653,0.5015,0.0885,0.501,0.3636
pjxuqwbj503,0.5015,0.0193,0.5694,0.3634
pjxyqwbk796,0.5015,0.191,0.3976,0.3634
pjxyqxbj169,0.5015,0.1205,0.4675,0.3631
pjxyqxbk263,0.5015,0.0201,0.5676,0.363
pjxuqwbj778,0.7025,0.0146,0.3715,0.3629
pjxyqwbk735,0.5015,0.0446,0.5416,0.3626
pjwrqxbj924,0.5015,0.0493,0.5367,0.3625
pjxwxxbj964,0.5015,0.1004,0.4847,0.3622
pjxsqxbj971,0.6841,0.0182,0.3842,0.3622
pjxyqwbk585,0.5015,0.089,0.4947,0.3617
pjxyqwbk925,0.5015,0.0606,0.5217,0.3613
pjxyqxbk497,0.5015,0.0259,0.5557,0.361
pjxyqwbk999,0.5015,0.0885,0.4929,0.361
pjxyqxbk013,0.5015,0.1249,0.4563,0.3609
pjxyqxbj776,0.5015,0.0184,0.5625,0.3608
pjxyqwbk895,0.5015,0.0281,0.5528,0.3608
pjxyqwbk741,0.5015,0.0487,0.532,0.3607
pjxyqwbj660,0.7333,0.0451,0.3028,0.3604
pjxyqwbj617,0.5015,0.0953,0.4842,0.3604
pjxyqwbk871,0.5015,0.0244,0.5551,0.3603
pjwtqxbj967,0.5015,0.0982,0.4812,0.3603
pjxxxxbj987,0.5015,0.146,0.4333,0.3603
pjxyqxbk782,0.5015,0.0885,0.4908,0.3603
pjxyqxbk273,0.5015,0.0642,0.515,0.3602
pjxyqxbk604,0.5015,0.0294,0.5495,0.3601
pjxyqxbl779,0.5015,0.1269,0.4519,0.3601
pjxyqxbj777,0.5015,0.1439,0.4343,0.3599
pjxyqxbj753,0.5015,0.1439,0.4343,0.3599
pjxuqwbj904,0.5015,0.0242,0.5537,0.3598
pjxxxxbj922,0.5015,0.1147,0.4632,0.3598
pjxyqxbk789,0.5015,0.2765,0.3012,0.3597
pjxsqxbj918,0.5015,0.1706,0.4071,0.3597
pjwrqxbj935,0.5015,0.0281,0.5492,0.3596
pjxqqxbj982,0.7408,0.0506,0.2865,0.3593
pjxyqwbj830,0.5015,0.0267,0.5491,0.3591
pjxyqwbj333,0.5015,0.0763,0.4991,0.359
pjxuqwbj634,0.5015,0.1241,0.451,0.3589
pjxyqxbl990,0.5015,0.0244,0.5505,0.3588
pjxyqwbj764,0.5015,0.0904,0.4846,0.3588
pjxyqwbj139,0.5015,0.0881,0.4866,0.3587
pjxxxxbj901,0.5015,0.1227,0.4517,0.3586
pjxsqxbj787,0.5015,0.0478,0.5259,0.3584
pjxyqxbl963,0.5015,0.0154,0.558,0.3583
pjxyqwbj631,0.5015,0.1441,0.4288,0.3581
pjxxztbj998,0.5015,0.0233,0.5493,0.358
pjxuqwbj676,0.5015,0.0167,0.5548,0.3577
pjxyqwbj560,0.5015,0.0259,0.5455,0.3576
pjxuqwbj517,0.5015,0.1473,0.4239,0.3575
pjxxxxbj921,0.5015,0.1776,0.3932,0.3574
pjxyqwbj004,0.5015,0.0259,0.5443,0.3572
pjxsqxbj925,0.5015,0.0281,0.542,0.3572
pjxyqwbj699,0.5015,0.13,0.4398,0.3571
pjxyqwbj104,0.5015,0.0277,0.541,0.3567
pjxyqwbk727,0.5015,0.0685,0.5001,0.3567
pjxuqwbj666,0.7397,0.0204,0.3097,0.3566
pjxyqxbj162,0.5015,0.0607,0.5076,0.3566
pjxpqxbj955,0.4666,0.2143,0.3881,0.3563
pjxyqxbk882,0.5015,0.1439,0.4236,0.3563
pjxyqxbl919,0.5015,0.052,0.5151,0.3562
pjxwxxbj934,0.5015,0.027,0.5402,0.3562
pjxxxxbj975,0.5015,0.0891,0.4779,0.3562
pjxyqwbj452,0.5015,0.1439,0.4229,0.3561
pjxyqwbk795,0.5015,0.1047,0.4621,0.3561
pjxyqxbj399,0.5015,0.1135,0.4531,0.356
pjxyqwbj455,0.5015,0.1215,0.4451,0.356
pjxyqxbj740,0.5015,0.0173,0.5491,0.356
pjxyqxbj669,0.5015,0.2401,0.3259,0.3558
pjxyqxbl687,0.5015,0.0161,0.5495,0.3557
pjxyqxbk232,0.5015,0.0353,0.5303,0.3557
pjxyqwbk769,0.5015,0.0969,0.4681,0.3555
pjxyqwbj035,0.5015,0.0267,0.5383,0.3555
pjxyqxbk909,0.5015,0.0244,0.5404,0.3554
pjxyqxbk513,0.5192,0.0317,0.5152,0.3554
pjxyqxbk150,0.5015,0.0275,0.5369,0.3553
pjxyqwbj914,0.5015,0.0999,0.4641,0.3552
pjxyqxbk679,0.5015,0.0231,0.5407,0.3551
pjxyqxbk700,0.5015,0.1278,0.4357,0.355
pjxyqxbj132,,0.0852,0.6247,0.3549
pjxuqwbj925,0.5015,0.0478,0.5153,0.3549
pjxyqwbj590,0.5015,0.0739,0.489,0.3548
pjxyqxbk827,0.5015,0.0233,0.5395,0.3548
pjxyqxbj323,,0.2555,0.4538,0.3546
pjxyqwbj146,0.5015,0.0487,0.5135,0.3546
pjxyqwbj685,0.5015,0.0349,0.5273,0.3546
pjxyqxbj410,0.5015,0.0146,0.5476,0.3546
pjxyqxbj027,0.5015,0.1133,0.4483,0.3544
pjxyqxbj701,0.5015,0.0459,0.5153,0.3542
pjxsqxbj812,0.5015,0.0208,0.5404,0.3542
pjxwzxbj996,0.5015,0.0208,0.5403,0.3542
pjxuqwbj933,0.5015,0.0585,0.5021,0.354
pjxyqwbj027,0.5015,0.1091,0.4513,0.3539
pjxyqwbj249,0.5015,0.1077,0.4524,0.3539
pjxuqwbj803,0.5015,0.0156,0.5444,0.3538
pjxyqxbk961,0.5015,0.0156,0.5436,0.3536
pjxyqxbl753,0.5015,0.0275,0.5317,0.3535
pjxuqwbj631,0.5015,0.0398,0.5189,0.3534
pjxyqxbk840,0.5015,0.0852,0.4733,0.3533
pjxyqxbk583,0.7285,0.0146,0.3168,0.3533
pjxyqwbj868,0.5015,0.0687,0.4895,0.3532
pjxyqwbk862,0.5015,0.0618,0.4962,0.3532
pjxyqxbj147,0.6382,0.0267,0.3944,0.3531
pjxuqwbj609,0.5015,0.0195,0.5381,0.353
pjxyqxbj102,0.5015,0.0648,0.4922,0.3528
pjxyqxbk039,0.5015,0.1044,0.4524,0.3528
pjxyqxbj541,0.5637,0.0267,0.4679,0.3527
pjxyqwbk868,0.5015,0.1,0.4568,0.3527
pjxyqxbl730,0.5015,0.0285,0.5278,0.3526
pjxxxxbj980,0.5015,0.101,0.455,0.3525
pjxyqxbk287,0.5015,0.0347,0.5213,0.3525
pjxuqwbj654,0.5015,0.0195,0.5363,0.3524
pjxuqwbj917,0.5015,0.1052,0.4501,0.3523
pjwrqxbj980,0.5015,0.0244,0.5302,0.352
pjxsqxbj996,0.5015,0.0146,0.5395,0.3519
pjxyqxbk500,,0.1071,0.5965,0.3518
pjxyqwbj811,0.5015,0.0281,0.5259,0.3518
pjxyqwbk855,0.5015,0.018,0.5356,0.3517
pjxsqxbj981,0.5015,0.0146,0.5389,0.3516
pjwtqxbj969,0.5015,0.0447,0.5086,0.3516
pjxyqxbk627,0.5015,0.0488,0.5045,0.3516
pjxyqwbj418,0.4931,0.0918,0.4699,0.3516
pjxrqxbj951,0.5015,0.0329,0.5203,0.3516
pjxwxxbj949,0.5015,0.0454,0.5074,0.3514
pjxyqxbl812,0.5015,0.0957,0.4572,0.3514
pjxyqwbk636,0.5015,0.0257,0.527,0.3514
pjxyqxbk535,0.5015,0.0132,0.5393,0.3513
pjxuqwbj460,0.5015,0.0184,0.5341,0.3513
pjxyqxbj092,0.5015,0.0806,0.4717,0.3512
pjxyqxbj909,0.5015,0.0322,0.52,0.3512
pjwtqxbj952,0.5015,0.0525,0.4992,0.3511
pjxyqxbk437,0.5015,0.0219,0.5298,0.351
pjxyqwbj185,0.5015,0.0965,0.455,0.351
pjxyqwbk782,0.5015,0.148,0.4033,0.3509
pjxyqxbj771,0.5015,0.0539,0.4962,0.3505
pjxrqxbj945,0.5015,0.0247,0.5252,0.3505
pjxyqxbl827,0.5015,0.0267,0.5226,0.3502
pjxyqxbk434,0.5015,0.0514,0.4975,0.3501
pjxuqwbj953,0.5015,0.0195,0.5292,0.35
pjxyqxbj501,0.5015,0.0246,0.5239,0.35
pjxyqxbj405,0.5015,0.0154,0.5331,0.35
pjxyqxbj066,0.5015,0.0684,0.4799,0.3499
pjwtqxbj935,0.5015,0.0821,0.4662,0.3499
pjxyqxbk631,0.5015,0.0717,0.4766,0.3499
pjxyqwbj627,0.5015,0.0852,0.463,0.3499
pjxxxxbj942,0.5015,0.146,0.4021,0.3499
pjxyqxbj451,0.5015,0.0605,0.4873,0.3498
pjxyqxbj334,0.5369,0.0259,0.4864,0.3497
pjxyqxbl869,0.5015,0.0811,0.4666,0.3497
pjxyqxbk799,0.5015,0.1668,0.3804,0.3496
pjxyqwbj506,0.5015,0.0277,0.5194,0.3495
pjxyqwbj285,0.5015,0.0946,0.4524,0.3495
pjxyqwbj044,0.5015,0.0269,0.5201,0.3495
pjxyqwbj041,0.5015,0.0602,0.4865,0.3494
pjxyqxbl872,,0.1534,0.5453,0.3494
pjxuqwbj686,0.5015,0.082,0.4646,0.3494
pjxyqxbj492,0.5015,0.0244,0.5222,0.3494
pjxyqxbk676,0.5015,0.0132,0.5334,0.3494
pjxyqwbk831,0.5015,0.0259,0.5206,0.3493
pjxyqwbj031,0.5015,0.0918,0.4544,0.3492
pjxyqxbj121,0.5015,0.0184,0.5275,0.3492
pjxuqwbj692,0.5015,0.0156,0.5303,0.3491
pjxsqxbj780,0.5015,0.1439,0.4018,0.3491
pjwrqxbj901,0.5015,0.0455,0.5001,0.349
pjxsqxbj936,0.5015,0.134,0.411,0.3489
pjxyqwbk623,,0.1688,0.5286,0.3487
pjxyqxbk470,0.5015,0.0258,0.5188,0.3487
pjxyqxbj812,0.5015,0.0208,0.5236,0.3486
pjxyqwbk710,0.5015,0.1047,0.4389,0.3484
pjxyqwbk513,0.5015,0.0688,0.4747,0.3483
pjxyqwbj278,0.5015,0.0223,0.5209,0.3482
pjxyqxbk926,0.5015,0.0156,0.5276,0.3482
pjxyqwbk632,0.5015,0.0322,0.5108,0.3482
pjxyqwbj422,0.5015,0.0908,0.4522,0.3482
pjxyqwbk899,0.5015,0.0908,0.452,0.3481
pjxyqxbj173,0.5015,0.0267,0.516,0.348
pjxyqwbj834,0.6696,0.0401,0.3343,0.348
pjxyqxbj562,0.5015,0.027,0.5155,0.348
pjxyqxbl793,0.5015,0.0154,0.5266,0.3478
pjwrqxbj991,0.5015,0.0349,0.5071,0.3478
pjxyqwbj408,0.5015,0.0275,0.5144,0.3478
pjxyqxbj905,0.5015,0.0277,0.5141,0.3477
pjxyqwbj895,0.5015,0.0602,0.4813,0.3477
pjxyqxbl708,0.5015,0.1855,0.3559,0.3476
pjxpqxbj918,0.5015,0.0555,0.4857,0.3476
pjxyqwbk661,0.5015,0.052,0.4892,0.3476
pjxyqxbk522,0.5015,0.0154,0.5256,0.3475
pjxyqxbk546,0.5015,0.0156,0.5251,0.3474
pjxyqwbj463,0.5015,0.0267,0.5132,0.3471
pjxyqwbk548,0.5015,0.0742,0.4655,0.347
pjxuzxbj986,0.5015,0.0588,0.4808,0.347
pjwtqxbj976,0.5015,0.0243,0.5152,0.347
pjxyqwbj744,0.5015,0.0918,0.4477,0.347
pjxyqwbj608,0.5015,0.0982,0.4412,0.347
pjxyqwbk865,,0.1436,0.5503,0.347
pjxsqxbj888,0.5015,0.0156,0.5238,0.3469
pjxyqwbk764,0.5015,0.0935,0.4459,0.3469
pjxuqwbj615,0.5015,0.0167,0.5226,0.3469
pjxyqwbk531,0.5015,0.1439,0.3952,0.3469
pjxyqwbk671,0.5015,0.1632,0.3754,0.3467
pjxuqwbj586,0.5015,0.0307,0.5078,0.3467
pjxyqxbk253,0.5015,0.0815,0.4569,0.3466
pjxyqxbj780,0.5582,0.0367,0.4441,0.3463
pjxyqwbk810,0.5015,0.0388,0.4985,0.3463
pjxyqwbj223,0.5015,0.0325,0.5048,0.3463
pjxyqxbj063,,0.1439,0.548,0.346
pjxyqwbj003,0.5015,0.0257,0.5107,0.346
pjxyqxbl900,0.5015,0.0588,0.4773,0.3459
pjxyqwbj122,0.5015,0.0967,0.4393,0.3458
pjxyqxbk596,0.5015,0.0267,0.5093,0.3458
pjxyqxbk953,0.5015,0.1439,0.3916,0.3457
pjxyqxbk905,0.5015,0.0146,0.5209,0.3457
pjxyqxbj835,0.5015,0.0146,0.5204,0.3455
pjxxzxkj978,,0.1005,0.5904,0.3454
pjxsqxbj922,0.5015,0.0223,0.5121,0.3453
pjxyqxbj035,0.5015,0.0219,0.5124,0.3453
pjxyqwbk673,0.5015,0.0918,0.4423,0.3452
pjxwzxkj985,0.5015,0.0325,0.5014,0.3451
pjxyqxbj610,0.5015,0.0195,0.5142,0.3451
pjxyqxbj315,0.6422,0.1021,0.2902,0.3448
pjxyqxbj984,0.5015,0.0267,0.5061,0.3447
pjxyqxbk649,0.5015,0.0322,0.5002,0.3446
pjxyqxbj630,0.5015,0.0243,0.5079,0.3446
pjwtqxbj932,0.5015,0.0259,0.5062,0.3445
pjxyqxbj397,0.5015,0.0146,0.5175,0.3445
pjxyqwbj662,0.5015,0.1154,0.4166,0.3445
pjxyqwbj084,0.5015,0.0281,0.5038,0.3445
pjxyqxbj765,0.5015,0.0267,0.5048,0.3443
pjxuqwbj535,0.5015,0.0247,0.5066,0.3443
pjwtqxbj939,0.5015,0.0529,0.4782,0.3442
pjxyqwbk828,0.5015,0.0729,0.4581,0.3442
pjxyqxbj044,0.5015,0.0851,0.4458,0.3441
pjxyqwbj669,0.7325,0.0176,0.2819,0.344
pjxyqxbk144,0.5015,0.0156,0.5146,0.3439
pjvyzxbj995,0.5015,0.1537,0.3764,0.3439
pjxqzxbj984,0.5015,0.124,0.406,0.3438
pjxyqxbk074,0.5015,0.1439,0.3861,0.3438
pjxrqxbj928,0.5015,0.0247,0.5053,0.3438
pjxyqxbl893,0.5015,0.0146,0.5152,0.3437
pjxyqxbj756,0.5015,0.0515,0.4782,0.3437
pjxyqwbj221,0.5015,0.0223,0.5072,0.3437
pjxyqwbj802,0.5015,0.045,0.4843,0.3436
pjxyqwbj087,0.5015,0.0372,0.4921,0.3436
pjwtqxbj968,0.5015,0.1119,0.4173,0.3436
pjxyqxbj584,0.5015,0.0169,0.5109,0.3431
pjxyqxbj868,0.5015,0.0244,0.503,0.343
pjxyqxbj578,0.5015,0.0267,0.5005,0.3429
pjxuqwbj723,0.5015,0.0292,0.4978,0.3428
pjxsqxbj815,0.5015,0.0161,0.5108,0.3428
pjxyqwbk562,0.5015,0.0325,0.4943,0.3428
pjxyqwbk962,0.5015,0.0267,0.5001,0.3427
pjxrqxbj918,0.5015,0.027,0.4996,0.3427
pjxyqxbj031,0.4966,0.1452,0.3863,0.3427
pjxyqwbj713,0.5015,0.0325,0.494,0.3427
pjxyqwbj896,0.5369,0.0267,0.4643,0.3426
pjxsqxbj985,0.5015,0.0167,0.5094,0.3425
pjxyqwbj939,0.5015,0.0281,0.498,0.3425
pjxyqwbj864,0.5015,0.0908,0.4352,0.3425
pjxuqwbj476,0.5015,0.0193,0.5067,0.3425
pjxwxxbj928,0.5015,0.1052,0.4207,0.3425
pjxyqxbk005,0.5015,0.0281,0.4979,0.3425
pjxuqwbj479,0.5015,0.0167,0.509,0.3424
pjxxxxbj958,0.5015,0.1243,0.4012,0.3423
pjxsqxbj792,0.5015,0.0146,0.5105,0.3422
pjwrqxbj905,0.5015,0.0593,0.4653,0.342
pjxwxxbj941,0.5015,0.042,0.4826,0.342
pjxyqxbj018,0.5015,0.0325,0.4917,0.3419
pjxyqxbj889,0.5015,0.0195,0.5048,0.3419
pjxyqwbj927,,0.2449,0.4388,0.3418
pjxyqxbk997,0.5015,0.0267,0.4971,0.3417
pjxyqxbj574,0.5015,0.0322,0.4915,0.3417
pjxwxxbj967,0.5015,0.1801,0.3424,0.3413
pjxvzxbj997,0.5015,0.0259,0.4965,0.3413
pjxyqwbj078,,0.1544,0.5282,0.3413
pjxyqxbk163,0.5015,0.0154,0.5068,0.3412
pjxsqxbj764,0.5015,0.0146,0.5075,0.3412
pjxyqwbj902,0.5015,0.0243,0.4977,0.3411
pjxyqxbk022,0.5015,0.0146,0.5071,0.3411
pjxyqwbk514,0.5015,0.1108,0.4106,0.341
pjxyqxbj319,0.5015,0.0204,0.5006,0.3408
pjxyqwbj991,0.5015,0.0395,0.4811,0.3407
pjxuqwbj992,0.5015,0.0167,0.5039,0.3407
pjxyqwbj488,0.5015,0.0485,0.4721,0.3407
pjxyqwbj108,0.5158,0.0325,0.4736,0.3407
pjxyqwbj903,0.5015,0.0602,0.4601,0.3406
pjxwxxbj972,0.5015,0.0154,0.5049,0.3406
pjxuqwbj954,0.5015,0.0154,0.5047,0.3405
pjxyqxbj663,0.5015,0.0349,0.4847,0.3404
pjxyqxbk674,0.5015,0.0705,0.449,0.3403
pjxsqxbj796,0.5015,0.0146,0.5047,0.3403
pjxyqxbj581,0.5015,0.0267,0.4922,0.3401
pjxyqwbj979,0.5015,0.0425,0.4762,0.3401
pjxyqwbj532,0.5015,0.0308,0.4876,0.34
pjxyqxbk603,,0.2049,0.4749,0.3399
pjxuqwbj678,0.5015,0.04,0.4779,0.3398
pjxsqxbj997,0.5015,0.0146,0.5033,0.3398
pjxsqxbj789,0.5015,0.0852,0.4323,0.3396
pjxyqxbj224,0.5015,0.0146,0.5028,0.3396
pjxsqxbj942,0.5015,0.0144,0.5029,0.3396
pjxyqwbk509,0.5015,0.0244,0.4929,0.3396
pjwtqxbj977,0.5015,0.0776,0.4397,0.3396
pjwtqxbj928,0.5015,0.0547,0.4626,0.3396
pjwrqxbj984,0.5015,0.0658,0.4514,0.3395
pjxyqwbj023,0.5015,0.1,0.417,0.3395
pjxyqxbk594,0.5015,0.0259,0.4911,0.3395
pjxyqwbk746,0.5015,0.0281,0.4889,0.3395
pjxyqxbk236,0.6875,0.0097,0.3209,0.3394
pjxyqwbj479,0.5015,0.0267,0.49,0.3394
pjxyqxbj333,0.5015,0.0167,0.4998,0.3393
pjxyqxbk182,0.5015,0.0277,0.4888,0.3393
pjxyqwbj472,0.5015,0.0244,0.492,0.3393
pjxyqwbj236,0.5015,0.1108,0.4051,0.3391
pjxqqxbj996,0.5015,0.0366,0.4789,0.339
pjxuqwbj761,0.5192,0.0165,0.4812,0.339
pjxxxxbj953,0.5015,0.146,0.3694,0.339
pjxyqwbj697,0.5015,0.0388,0.4765,0.3389
pjxrqxbj944,0.5015,0.028,0.4873,0.3389
pjxyqwbk713,0.5015,0.0259,0.4892,0.3389
pjxuqwbj879,0.7329,0.0097,0.2739,0.3388
pjxyqxbj043,0.5015,0.0267,0.4883,0.3388
pjxyqxbk751,0.5015,0.0347,0.4802,0.3388
pjxyqxbj832,0.5015,0.0771,0.4376,0.3387
pjxwzxkj989,0.5015,0.0195,0.4951,0.3387
pjxyqxbj391,0.5015,0.0275,0.4869,0.3386
pjxyqwbk665,0.5015,0.0259,0.4882,0.3385
pjxyqwbk802,0.5015,0.0281,0.4859,0.3385
pjxyqxbk131,0.5015,0.086,0.428,0.3385
pjxyqwbj763,0.5015,0.0267,0.4873,0.3385
pjxsqxbj994,0.5015,0.0167,0.4967,0.3383
pjxyqwbj566,0.5015,0.0243,0.489,0.3383
pjxyqwbj872,0.5015,0.0918,0.4215,0.3382
pjxyqwbj015,0.5015,0.0267,0.4865,0.3382
pjxyqxbj024,0.5015,0.0884,0.4247,0.3382
pjxyqxbk562,0.5015,0.0195,0.4936,0.3382
pjxyqxbj159,0.7579,0.0419,0.2145,0.3381
pjxyqwbj476,0.5015,0.0284,0.4843,0.3381
pjwtqxbj993,0.5015,0.0267,0.486,0.3381
pjxyqwbj935,0.5015,0.0267,0.486,0.338
pjxyqxbk640,0.5015,0.0308,0.4816,0.338
pjxyqxbj490,0.5015,0.0501,0.4619,0.3378
pjxyqwbj615,0.5015,0.0463,0.4654,0.3377
pjxqzxbj996,0.5015,0.1343,0.3773,0.3377
pjxyqxbj683,0.5015,0.0246,0.4867,0.3376
pjxyqwbj150,0.5015,0.0281,0.4832,0.3376
pjxsqxbj908,0.5015,0.0153,0.4957,0.3375
pjxwxxbj927,0.5015,0.1439,0.367,0.3374
pjxyqwbk745,0.5015,0.0244,0.4864,0.3374
pjxyqxbk331,0.5015,0.0277,0.4831,0.3374
pjxyqxbk477,0.5015,0.0146,0.4959,0.3373
pjxyqwbj101,0.5015,0.0281,0.4821,0.3372
pjxrqxbj911,0.5015,0.0262,0.484,0.3372
pjxyqxbj907,0.5015,0.1716,0.3384,0.3371
pjxsqxbj779,0.5015,0.0612,0.4485,0.3371
pjxyqxbk349,0.5015,0.0156,0.4937,0.3369
pjxsqxbj982,0.5015,0.0144,0.4947,0.3369
pjxyqwbj856,0.5015,0.0325,0.4764,0.3368
pjxyqxbk878,0.5015,0.0146,0.4939,0.3366
pjxyqwbj789,0.5015,0.0243,0.4832,0.3363
pjxsqxbj825,0.5015,0.0277,0.4797,0.3363
pjxuqwbj980,0.5015,0.0211,0.4862,0.3363
pjxyqwbk779,0.5015,0.0267,0.4804,0.3362
pjxyqxbk528,0.5015,0.0275,0.4795,0.3362
pjxuqwbj694,0.5637,0.029,0.4157,0.3361
pjxuqwbj854,0.5637,0.0115,0.4332,0.3361
pjxuzxbj987,0.5015,0.0559,0.4509,0.3361
pjxxxxbj957,0.5015,0.146,0.3606,0.336
pjxyqxbj978,0.5015,0.0386,0.468,0.336
pjxyqwbk923,0.5015,0.0275,0.4789,0.3359
pjxqqxbj979,0.5015,0.042,0.4641,0.3358
pjxuqwbj876,0.5015,0.0231,0.4827,0.3358
pjwrqxbj955,0.5015,0.0463,0.4595,0.3358
pjxyqwbj497,0.5015,0.0259,0.4796,0.3357
pjxyqwbj889,0.5015,0.1317,0.3738,0.3357
pjxyqxbj294,0.5015,0.0165,0.4889,0.3356
pjxyqxbk765,0.5015,0.0267,0.4787,0.3356
pjxyqxbk295,0.5015,0.0167,0.4883,0.3355
pjxyqxbj305,0.5015,0.0201,0.4849,0.3355
pjxuqwbj870,0.5015,0.0153,0.4894,0.3354
pjxyqwbj808,0.5015,0.0244,0.4799,0.3353
pjxyqwbk806,0.5015,0.0423,0.4614,0.3351
pjxyqwbj328,0.5015,0.0257,0.4777,0.335
pjxyqxbj225,0.5015,0.0897,0.4137,0.335
pjxyqxbj052,0.5015,0.0335,0.4697,0.3349
pjxyqxbj945,0.5015,0.0322,0.4709,0.3349
pjxuqwbj498,0.5015,0.0268,0.4762,0.3348
pjxyqwbj188,0.5015,0.1439,0.359,0.3348
pjxyqxbl930,0.5015,0.0225,0.4802,0.3348
pjxyqwbj833,0.5015,0.0257,0.477,0.3347
pjxyqxbj864,0.5015,0.0165,0.4858,0.3346
pjwrqxbj938,0.5015,0.0325,0.4698,0.3346
pjxsqxbj821,0.5015,0.0316,0.4704,0.3345
pjxyqxbl836,0.5015,0.0153,0.4866,0.3345
pjxyqwbj837,0.5015,0.0349,0.4669,0.3344
pjxyqwbj540,0.4847,0.134,0.3843,0.3343
pjxsqxbj949,0.5015,0.0208,0.4805,0.3343
pjxyqwbk804,0.5015,0.0746,0.4265,0.3342
pjxuqwbj491,0.5015,0.0146,0.4866,0.3342
pjxyqxbj348,0.5015,0.0156,0.4855,0.3342
pjxyqxbk527,0.5015,0.035,0.466,0.3342
pjxyqxbk663,0.5015,0.0146,0.4864,0.3342
pjxyqxbk661,0.5015,0.0322,0.4688,0.3342
pjxxzxkj983,0.5015,0.0146,0.4863,0.3341
pjxyqxbk872,0.5015,0.0146,0.4863,0.3341
pjxyqwbj315,0.5015,0.0573,0.4435,0.3341
pjxyqwbk772,0.5015,0.0463,0.4544,0.3341
pjxyqwbj425,0.5015,0.0372,0.4635,0.3341
pjxyqwbj777,0.5015,0.0284,0.472,0.334
pjxyqwbk793,0.5015,0.0267,0.4738,0.334
pjxuqwbj622,0.5015,0.0171,0.4832,0.3339
pjxyqwbj082,0.5015,0.045,0.4552,0.3339
pjxyqwbj394,0.5015,0.0349,0.4653,0.3339
pjxyqxbk530,0.5015,0.0154,0.4846,0.3338
pjxyqxbk843,0.5015,0.0201,0.4798,0.3338
pjxyqxbj554,0.5204,0.0243,0.4565,0.3337
pjxwxxbj938,0.5015,0.033,0.4665,0.3336
pjxyqxbk148,0.5015,0.0257,0.4737,0.3336
pjxsqxbj886,0.5015,0.0154,0.4833,0.3334
pjxyqxbl950,0.5015,0.0242,0.4744,0.3334
pjxyqwbj169,0.5015,0.0281,0.4702,0.3333
pjwrzxbj996,,0.1439,0.5223,0.3331
pjxyqxbk364,,0.2824,0.3838,0.3331
pjxqqxbj981,0.5015,0.0616,0.4359,0.333
pjxyqwbj203,0.5015,0.0275,0.4697,0.3329
pjxyqwbj961,0.5015,0.0267,0.4704,0.3328
pjxyqwbj224,0.5015,0.0267,0.47,0.3327
